job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,days_ago,salary_numeric
data scientist,senior,hybrid,company_216,United States . Hybrid,4 days ago,"Boston, MA, US",Technology,Public,"3,050",Public,"€130,609 - €209,155","['pytorch', 'aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow']",4,169882
data scientist,senior,Unknown,company_678,"Fort Huachuca, AZ . Fort Huachuca, Arizona, United States",22 days ago,"Herndon, VA, US",Technology,Private,"5,060",Private,"€60,287 - €96,820",[],22,78553.5
data scientist,senior,on-site,company_680,"Richmond, VA",8 days ago,"Plano, TX, US",Technology,Private,"2,300",Private,"€91,334 - €109,600","['git', 'r', 'python', 'sql', 'machine learning']",8,100467
data scientist,senior,Unknown,company_678,"Ashburn, VA",21 days ago,"Herndon, VA, US",Technology,Private,"5,030",Private,"€160,753 - €257,566","['spark', 'aws', 'r', 'python', 'scala', 'java', 'sql', 'machine learning', 'hadoop', 'azure', 'tableau']",21,209159.5
data scientist,lead,Unknown,company_685,"New York, NY",6 months ago,"New York, NY, US",Technology,Private,"2,060",Private,"€79,654 - €125,307","['spark', 'aws', 'python', 'sql', 'machine learning']",6,102480.5
data scientist,senior,on-site,company_689,Greater Milwaukee,8 days ago,"Green Bay, WI, US",Retail,Public,"4,760",Public,"€94,111 - €161,332","['spark', 'aws', 'r', 'python', 'scala', 'sql', 'machine learning', 'gcp', 'deep learning', 'hadoop', 'azure', 'tableau']",8,127721.5
data scientist,lead,Unknown,company_488,"Boston, MA",23 days ago,"Boston, MA, US",Healthcare,Unknown,"4,270",Nonprofit,"€149,604 - €182,849","['r', 'python', 'sql', 'machine learning', 'tableau']",23,166226.5
data scientist,senior,hybrid,company_690,"Maplewood, MN . Hybrid",7 days ago,"Maplewood, MN, US",Healthcare,Public,"22,030",Public,"€146,393 - €178,925","['machine learning', 'r', 'python']",7,162659
data scientist,senior,Unknown,company_694,"San Francisco, CA",2 days ago,"San Francisco, CA, US",Finance,Private,90,Private,"€200,936 - €264,868","['amazon', 'machine learning']",2,232902
data scientist,senior,hybrid,company_697,"Austin, TX . Hybrid",14 days ago,"Austin, TX, US",Technology,Private,330,Private,"€109,606 - €146,139","['pandas', 'numpy', 'aws', 'r', 'python', 'scikit-learn', 'airflow', 'sql', 'machine learning', 'gcp', 'azure', 'matplotlib', 'tableau']",14,127872.5
